age,income,risk_status,loan_int_rate,family_size,education,cc_expense,lifestyle_expense,credit_score,total_expense,savings,budget_status
24,67746,1,12.68,4,1,8.0,1115,720.0,1211.0,66535.0,Bad
21,11000,1,17.74,2,1,0.1,1229,604.0,1230.2,9769.8,Bad
23,11000,0,9.32,2,2,0.3,1003,425.0,1006.6,9993.4,Average
24,65000,1,9.99,3,3,0.8,393,600.0,402.6,64597.4,Bad
21,11389,1,12.84,2,3,1.6,369,629.0,388.2,11000.8,Bad
21,11520,1,11.12,4,1,0.3,37,300.0,40.6,11479.4,Bad
25,120000,0,6.62,2,1,0.3,38,468.0,41.6,119958.4,Average
26,95000,1,14.17,1,3,3.7,128,585.0,172.4,94827.6,Bad
25,306000,0,13.85,1,2,0.4,16,597.0,20.8,305979.2,Average
26,300000,0,13.49,4,1,0.5,26,436.0,32.0,299968.0,Average
21,12000,1,7.51,4,3,0.1,57,592.0,58.2,11941.8,Bad
22,48000,1,18.39,1,3,1.3,72,686.0,87.6,47912.4,Bad
24,64000,1,14.54,2,2,1.4,2092,761.0,2108.8,61891.2,Bad
25,75000,1,16.89,3,1,1.1,24,439.0,37.2,74962.8,Bad
23,71500,1,10.99,4,2,1.9,270,832.0,292.8,71207.2,Bad
26,62050,1,17.99,3,3,0.9,373,362.0,383.8,61666.2,Bad
24,12000,1,12.69,3,2,0.0,265,332.0,265.0,11735.0,Bad
26,300000,0,7.88,4,2,8.6,373,323.0,476.2,299523.8,Average
23,300000,0,19.41,1,1,2.0,100,424.0,124.0,299876.0,Average
26,300000,0,10.38,4,2,2.2,235,768.0,261.4,299738.6,Good
26,300000,0,15.33,4,1,2.6,361,627.0,392.2,299607.8,Average
25,300000,0,16.45,1,3,0.5,279,452.0,285.0,299715.0,Average
26,80690,1,7.49,4,1,2.2,120,443.0,146.4,80543.6,Bad
22,66300,1,12.69,2,2,3.0,251,829.0,287.0,66013.0,Bad
26,89028,1,6.62,2,1,3.0,318,530.0,354.0,88674.0,Bad
24,78000,1,10.99,2,3,3.9,30,618.0,76.8,77923.2,Bad
23,78000,1,18.62,3,1,1.5,37,564.0,55.0,77945.0,Bad
23,92004,1,15.23,3,2,1.0,1192,478.0,1204.0,90800.0,Bad
23,97000,1,10.65,3,3,0.8,137,843.0,146.6,96853.4,Bad
25,120000,0,7.9,1,2,1.8,5,636.0,26.6,119973.4,Average
26,280000,0,15.96,4,2,2.0,460,846.0,484.0,279516.0,Good
26,277104,0,11.48,2,1,4.5,17,306.0,71.0,277033.0,Average
23,277000,0,10.99,1,2,1.8,86,718.0,107.6,276892.4,Good
25,128000,0,7.29,2,2,0.7,55,367.0,63.4,127936.6,Average
24,12000,0,10.99,1,1,6.0,518,673.0,590.0,11410.0,Average
21,131000,0,5.99,2,3,0.9,65,562.0,75.8,130924.2,Average
22,275000,0,11.58,3,1,0.8,77,568.0,86.6,274913.4,Average
26,263000,1,10.99,3,2,7.5,38,482.0,128.0,262872.0,Bad
25,221850,1,15.7,4,2,2.0,612,680.0,636.0,221214.0,Bad
22,70000,1,15.99,4,1,1.0,1048,357.0,1060.0,68940.0,Bad
22,12000,0,14.84,4,2,0.3,43,781.0,46.6,11953.4,Good
26,260000,0,10.99,3,3,2.3,1536,674.0,1563.6,258436.4,Average
25,259000,0,14.42,3,1,2.5,251,721.0,281.0,258719.0,Good
24,255000,0,6.99,4,3,2.4,258,798.0,286.8,254713.2,Good
25,250000,0,13.49,3,1,3.4,149,509.0,189.8,249810.2,Average
25,12000,1,10.99,4,3,1.9,904,666.0,926.8,11073.2,Bad
22,56950,1,10.99,4,2,1.8,96,766.0,117.6,56832.4,Bad
21,12000,1,13.61,2,3,1.5,819,833.0,837.0,11163.0,Bad
23,65000,1,7.9,4,3,0.7,20,561.0,28.4,64971.6,Bad
26,85000,1,7.49,3,1,0.2,132,649.0,134.4,84865.6,Bad
26,12000,1,7.51,3,1,0.8,653,343.0,662.6,11337.4,Bad
22,88000,1,9.91,1,2,0.8,48,609.0,57.6,87942.4,Bad
21,12000,1,13.48,1,3,4.8,728,705.0,785.6,11214.4,Bad
22,12000,1,7.14,4,2,1.7,62,734.0,82.4,11917.6,Bad
24,83004,1,15.99,2,1,4.0,27,519.0,75.0,82929.0,Bad
24,250000,0,12.98,2,1,0.6,264,842.0,271.2,249728.8,Good
25,100000,0,12.69,2,3,1.5,30,722.0,48.0,99952.0,Good
26,110000,0,8.9,1,1,5.4,47,576.0,111.80000000000001,109888.2,Average
26,12000,1,10.99,4,1,1.0,41,530.0,53.0,11947.0,Bad
22,108000,1,10.99,1,3,3.0,315,417.0,351.0,107649.0,Bad
23,151200,0,11.11,2,3,5.2,1286,842.0,1348.4,149851.6,Good
24,69000,1,10.99,3,2,0.8,160,509.0,169.6,68830.4,Bad
21,12000,1,15.68,1,3,0.2,716,543.0,718.4,11281.6,Bad
22,70000,1,13.06,4,1,0.1,1617,432.0,1618.2,68381.8,Bad
22,240000,0,10.99,2,1,0.9,1178,421.0,1188.8,238811.2,Average
26,73200,1,15.62,1,2,8.0,2069,817.0,2165.0,71035.0,Bad
24,83000,1,13.49,1,3,0.0,44,715.0,44.0,82956.0,Bad
24,73399,1,10.99,3,1,5.5,747,693.0,813.0,72586.0,Bad
23,62500,1,11.71,3,3,0.3,84,422.0,87.6,62412.4,Bad
23,120000,0,12.69,1,2,4.33,2114,397.0,2165.96,117834.04,Average
24,12360,0,13.57,1,3,1.8,1131,397.0,1152.6,11207.4,Average
22,60000,1,10.99,2,3,0.2,94,420.0,96.4,59903.6,Bad
25,234000,0,14.27,4,2,1.0,19,765.0,31.0,233969.0,Good
24,234000,0,8.88,1,1,3.3,43,659.0,82.6,233917.4,Average
26,234000,0,12.18,4,3,0.8,1174,371.0,1183.6,232816.4,Average
25,221004,1,14.42,2,2,1.0,749,387.0,761.0,220243.0,Bad
26,232500,0,14.17,3,1,2.2,34,312.0,60.400000000000006,232439.6,Average
25,230000,0,13.99,2,1,0.9,1211,430.0,1221.8,228778.2,Average
23,83000,1,10.99,3,3,2.2,382,589.0,408.4,82591.6,Bad
22,12600,1,5.42,3,1,0.4,859,420.0,863.8,11736.2,Bad
25,12600,0,13.61,3,1,0.5,1572,411.0,1578.0,11022.0,Average
21,42500,1,12.73,1,2,0.7,928,564.0,936.4,41563.6,Bad
24,41000,1,10.99,2,3,0.3,1258,572.0,1261.6,39738.4,Bad
25,12816,1,12.87,4,2,2.9,1005,579.0,1039.8,11776.2,Bad
24,12960,1,9.91,1,3,2.3,1644,506.0,1671.6,11288.4,Bad
26,226000,0,11.49,4,1,4.7,608,623.0,664.4,225335.6,Average
25,225000,0,19.91,2,1,0.6,415,809.0,422.2,224577.8,Good
26,213000,1,10.65,4,3,3.2,690,443.0,728.4,212271.6,Bad
24,225000,0,10.99,2,3,4.1,14,408.0,63.199999999999996,224936.8,Average
24,12960,1,11.83,4,1,0.8,46,679.0,55.6,12904.4,Bad
23,12996,1,13.49,3,3,3.3,112,490.0,151.6,12844.4,Bad
22,42000,1,14.59,2,2,0.0,653,810.0,653.0,41347.0,Bad
26,48000,1,9.64,4,2,0.6,46,829.0,53.2,47946.8,Bad
25,12996,1,14.59,1,1,3.3,78,420.0,117.6,12878.4,Bad
22,12996,1,10.99,4,3,4.2,88,540.0,138.4,12857.6,Bad
25,42360,1,16.35,4,2,1.3,91,712.0,106.6,42253.4,Bad
21,49000,1,10.99,2,2,0.0,653,804.0,653.0,48347.0,Bad
25,225000,0,18.67,2,1,3.3,1052,335.0,1091.6,223908.4,Average
26,225000,0,9.32,2,2,0.4,185,839.0,189.8,224810.2,Good
23,225000,0,8.63,1,3,1.4,382,432.0,398.8,224601.2,Average
26,225000,0,10.08,4,3,0.9,369,404.0,379.8,224620.2,Average
22,49464,1,11.83,2,3,0.6,1286,528.0,1293.2,48170.8,Bad
23,50000,1,7.9,3,3,2.5,778,656.0,808.0,49192.0,Bad
25,50000,1,5.99,3,3,6.9,45,526.0,127.80000000000001,49872.2,Bad
24,44000,1,15.33,1,1,3.0,530,628.0,566.0,43434.0,Bad
23,50000,1,11.83,1,2,1.8,23,307.0,44.6,49955.4,Bad
22,50004,1,10.36,2,1,4.0,957,710.0,1005.0,48999.0,Bad
22,50004,1,12.23,1,3,3.0,278,628.0,314.0,49690.0,Bad
22,52000,1,11.11,1,1,2.3,42,707.0,69.6,51930.4,Bad
23,13200,1,7.9,2,1,0.3,458,701.0,461.6,12738.4,Bad
24,220000,0,11.58,1,3,0.8,198,414.0,207.6,219792.4,Average
23,216000,0,8.9,2,1,2.0,102,392.0,126.0,215874.0,Average
25,216000,0,16.07,4,2,0.3,746,349.0,749.6,215250.4,Average
26,216000,0,14.22,3,3,0.2,606,390.0,608.4,215391.6,Average
23,215000,0,14.79,2,2,1.0,78,592.0,90.0,214910.0,Average
26,215000,0,7.88,1,1,0.8,889,808.0,898.6,214101.4,Good
23,52000,1,13.22,2,3,0.7,694,576.0,702.4,51297.6,Bad
26,46000,1,11.86,3,2,1.7,315,688.0,335.4,45664.6,Bad
22,53000,1,13.43,4,3,0.2,27,415.0,29.4,52970.6,Bad
26,47000,1,15.28,4,3,3.2,442,667.0,480.4,46519.6,Bad
23,47000,1,17.93,4,2,2.67,1338,577.0,1370.04,45629.96,Bad
23,13200,0,9.25,4,2,0.6,165,306.0,172.2,13027.8,Average
21,13200,1,12.98,2,3,1.6,25,823.0,44.2,13155.8,Bad
22,210000,0,10.62,1,3,0.7,64,513.0,72.4,209927.6,Average
26,210000,0,11.83,2,1,5.2,1910,337.0,1972.4,208027.6,Average
26,48000,1,18.43,4,2,1.3,178,469.0,193.6,47806.4,Bad
22,54996,1,10.99,2,1,1.0,1027,769.0,1039.0,53957.0,Bad
24,55000,1,10.99,1,2,0.3,70,601.0,73.6,54926.4,Bad
23,55000,1,11.36,2,2,0.7,237,404.0,245.4,54754.6,Bad
23,55000,1,15.65,1,3,1.7,1092,771.0,1112.4,53887.6,Bad
24,55164,1,13.22,4,3,1.7,1529,694.0,1549.4,53614.6,Bad
26,56000,1,12.87,4,1,1.0,40,419.0,52.0,55948.0,Bad
24,203500,0,13.04,4,1,1.3,15,313.0,30.6,203469.4,Average
23,190000,1,17.58,4,1,4.2,1779,429.0,1829.4,188170.6,Bad
23,13920,1,17.04,4,3,2.1,37,737.0,62.2,13857.8,Bad
24,60000,1,10.99,1,3,1.7,413,663.0,433.4,59566.6,Bad
24,60000,1,11.11,1,1,2.6,499,786.0,530.2,59469.8,Bad
26,54000,1,14.83,4,1,6.6,89,333.0,168.2,53831.8,Bad
23,14000,1,10.99,3,3,2.1,180,557.0,205.2,13794.8,Bad
24,200000,0,12.69,1,2,0.5,1804,770.0,1810.0,198190.0,Good
24,200000,0,13.49,1,1,1.1,16,629.0,29.200000000000003,199970.8,Average
21,200000,0,14.65,3,1,2.0,702,491.0,726.0,199274.0,Average
25,54000,1,16.82,3,1,7.3,46,846.0,133.6,53866.4,Bad
23,60000,1,12.73,4,2,0.4,1040,667.0,1044.8,58955.2,Bad
23,60000,1,10.25,2,1,1.0,907,388.0,919.0,59081.0,Bad
21,60000,1,10.99,1,3,2.6,769,472.0,800.2,59199.8,Bad
25,61959,1,12.73,2,1,0.1,30,568.0,31.2,61927.8,Bad
22,56400,1,14.96,2,3,1.5,47,720.0,65.0,56335.0,Bad
23,200000,0,10.99,3,2,0.3,55,763.0,58.6,199941.4,Good
21,200000,0,13.99,3,1,1.8,90,615.0,111.6,199888.4,Average
24,200000,0,7.49,4,1,1.75,1295,693.0,1316.0,198684.0,Average
26,200000,0,14.79,4,3,1.5,794,742.0,812.0,199188.0,Good
25,200000,0,11.99,2,1,0.8,242,629.0,251.6,199748.4,Average
24,200000,0,8.49,1,1,2.4,450,392.0,478.8,199521.2,Average
24,66000,1,9.91,3,1,0.8,684,511.0,693.6,65306.4,Bad
22,66000,1,13.06,1,3,0.7,354,690.0,362.4,65637.6,Bad
22,200000,0,6.17,1,3,8.0,23,749.0,119.0,199881.0,Good
25,200000,0,16.32,3,3,2.8,265,355.0,298.6,199701.4,Average
25,200000,0,10.38,4,1,1.5,129,839.0,147.0,199853.0,Good
25,200000,0,14.35,2,1,0.3,1053,575.0,1056.6,198943.4,Average
24,200000,0,10.99,1,3,4.1,66,773.0,115.19999999999999,199884.8,Good
24,60000,1,10.99,4,1,0.7,2018,823.0,2026.4,57973.6,Bad
21,14400,1,10.99,3,3,1.5,56,610.0,74.0,14326.0,Bad
26,66996,1,15.21,4,1,0.3,1258,304.0,1261.6,65734.4,Bad
23,67000,1,7.9,2,3,8.0,916,611.0,1012.0,65988.0,Bad
24,67000,1,10.99,2,1,2.6,47,300.0,78.2,66921.8,Bad
24,68000,1,14.09,4,1,0.5,486,338.0,492.0,67508.0,Bad
25,69000,1,17.49,1,1,8.0,797,776.0,893.0,68107.0,Bad
25,200000,0,11.48,2,1,2.67,30,698.0,62.04,199937.96,Average
26,188000,1,17.74,3,1,1.7,40,743.0,60.4,187939.6,Bad
26,200000,0,13.92,3,2,3.3,316,716.0,355.6,199644.4,Good
25,69996,1,15.21,4,3,2.5,123,839.0,153.0,69843.0,Bad
22,14400,1,10.99,1,2,0.6,20,646.0,27.2,14372.8,Bad
24,70000,1,11.86,1,3,0.6,1179,387.0,1186.2,68813.8,Bad
24,14400,1,7.49,2,3,0.3,33,373.0,36.6,14363.4,Bad
24,56100,1,16.49,4,2,1.4,32,396.0,48.8,56051.2,Bad
25,66000,1,15.33,4,2,1.9,266,380.0,288.8,65711.2,Bad
26,66000,1,11.58,3,1,1.2,797,329.0,811.4,65188.6,Bad
25,14400,1,5.79,4,2,0.0,495,729.0,495.0,13905.0,Bad
25,72612,1,13.11,2,2,1.5,119,796.0,137.0,72475.0,Bad
23,74000,1,10.36,3,1,2.0,85,764.0,109.0,73891.0,Bad
25,75000,1,10.36,4,1,0.8,46,369.0,55.6,74944.4,Bad
24,192000,0,10.99,2,3,3.4,1440,341.0,1480.8,190519.2,Average
21,192000,0,6.54,4,2,6.7,29,767.0,109.4,191890.6,Good
25,191000,0,12.53,1,2,3.0,1319,439.0,1355.0,189645.0,Average
26,190300,0,10.99,1,1,0.6,1693,518.0,1700.2,188599.8,Average
22,190000,0,10.99,4,1,2.5,716,722.0,746.0,189254.0,Good
24,75000,1,10.25,3,1,2.4,343,796.0,371.8,74628.2,Bad
22,71000,1,15.95,2,3,3.8,62,841.0,107.6,70892.4,Bad
26,190000,0,12.18,2,1,0.6,61,334.0,68.2,189931.8,Average
23,189996,0,11.83,2,2,0.3,90,586.0,93.6,189902.4,Average
23,78000,1,10.99,4,3,0.5,95,783.0,101.0,77899.0,Bad
23,78000,1,10.62,1,3,2.1,46,493.0,71.2,77928.8,Bad
23,78504,1,10.74,4,2,1.9,756,485.0,778.8,77725.2,Bad
25,186000,0,10.25,3,3,2.1,1073,748.0,1098.2,184901.8,Good
24,185000,0,12.42,4,2,7.0,396,680.0,480.0,184520.0,Average
25,185000,0,15.27,4,2,1.1,1743,549.0,1756.2,183243.8,Average
24,62050,1,15.33,1,1,3.8,926,821.0,971.6,61078.4,Bad
23,79416,1,15.21,4,3,2.8,125,326.0,158.6,79257.4,Bad
21,14400,1,14.72,1,2,1.9,13,471.0,35.8,14364.2,Bad
24,79631,1,15.7,1,1,0.7,58,408.0,66.4,79564.6,Bad
24,79632,1,13.35,4,3,1.0,71,531.0,83.0,79549.0,Bad
21,14400,0,10.99,1,1,3.3,561,428.0,600.6,13799.4,Average
24,80000,1,6.62,1,3,1.5,988,657.0,1006.0,78994.0,Bad
26,80000,1,13.61,1,2,1.8,1600,644.0,1621.6,78378.4,Bad
22,185000,0,11.36,2,3,4.3,32,765.0,83.6,184916.4,Good
26,185000,0,7.68,4,2,8.8,1282,801.0,1387.6,183612.4,Good
24,184992,0,14.46,3,1,5.4,90,475.0,154.8,184837.2,Average
23,184000,0,11.83,1,1,1.3,184,553.0,199.6,183800.4,Average
24,172000,1,13.47,3,3,0.7,608,343.0,616.4,171383.6,Bad
24,183000,0,11.49,1,1,0.6,266,753.0,273.2,182726.8,Good
22,183000,0,10.99,3,3,0.3,928,476.0,931.6,182068.4,Average
25,182952,0,6.03,4,1,5.1,1525,594.0,1586.2,181365.8,Average
23,74004,1,16.35,4,1,5.4,946,475.0,1010.8,72993.2,Bad
26,74004,1,10.99,1,1,3.8,889,645.0,934.6,73069.4,Bad
25,81000,1,7.29,3,1,2.0,275,542.0,299.0,80701.0,Bad
23,81600,1,11.36,2,2,0.4,48,683.0,52.8,81547.2,Bad
24,82000,0,10.25,4,2,0.3,749,384.0,752.6,81247.4,Average
24,83000,0,11.12,1,3,1.1,45,832.0,58.2,82941.8,Good
24,83000,0,12.92,1,2,4.9,371,847.0,429.8,82570.2,Good
24,180000,0,18.64,3,3,6.5,198,754.0,276.0,179724.0,Good
23,180000,0,7.51,1,1,4.7,811,548.0,867.4,179132.6,Average
23,14400,1,16.7,3,1,8.8,89,756.0,194.60000000000002,14205.4,Bad
22,14400,0,11.14,4,2,0.1,145,775.0,146.2,14253.8,Good
22,84500,0,18.3,3,3,3.0,1179,381.0,1215.0,83285.0,Average
24,85000,0,10.62,3,3,0.5,24,503.0,30.0,84970.0,Average
24,180000,0,11.99,3,1,1.5,78,472.0,96.0,179904.0,Average
26,180000,0,9.63,3,3,1.0,43,580.0,55.0,179945.0,Average
25,142800,1,18.25,2,1,2.75,2302,562.0,2335.0,140465.0,Bad
23,14664,1,10.99,3,1,0.3,1288,698.0,1291.6,13372.4,Bad
24,87000,0,14.84,3,1,2.4,37,438.0,65.8,86934.2,Average
24,75000,1,14.7,4,3,1.0,107,357.0,119.0,74881.0,Bad
23,76000,1,16.02,2,1,1.8,823,821.0,844.6,75155.4,Bad
23,66215,1,15.37,3,2,2.0,69,301.0,93.0,66122.0,Bad
25,90000,0,10.99,1,1,1.8,974,452.0,995.6,89004.4,Average
21,15000,1,7.9,1,2,1.5,65,613.0,83.0,14917.0,Bad
26,180000,0,10.99,1,2,1.5,542,541.0,560.0,179440.0,Average
24,180000,0,11.48,2,3,2.33,734,309.0,761.96,179238.04,Average
25,180000,0,14.26,2,3,1.1,1544,504.0,1557.2,178442.8,Average
26,180000,0,8.0,1,2,1.5,1627,349.0,1645.0,178355.0,Average
25,180000,0,11.26,2,1,3.6,1367,312.0,1410.2,178589.8,Average
23,15000,1,10.99,3,1,0.6,67,577.0,74.2,14925.8,Bad
23,78000,1,16.32,2,3,0.8,1305,425.0,1314.6,76685.4,Bad
25,66300,1,17.93,3,2,1.3,884,479.0,899.6,65400.4,Bad
23,90000,0,11.36,3,1,0.3,382,660.0,385.6,89614.4,Average
24,79000,1,14.96,2,1,5.1,1941,326.0,2002.2,76997.8,Bad
24,91800,0,13.43,4,2,1.3,902,763.0,917.6,90882.4,Good
25,92000,0,12.69,4,3,0.3,76,540.0,79.6,91920.4,Average
24,92000,0,12.73,3,3,0.1,25,315.0,26.2,91973.8,Average
23,93600,0,15.21,2,1,2.0,11,623.0,35.0,93565.0,Average
23,15000,0,12.68,2,1,3.0,94,449.0,130.0,14870.0,Average
23,70550,1,19.04,1,3,2.4,30,527.0,58.8,70491.2,Bad
25,83800,1,15.95,1,3,0.5,22,600.0,28.0,83772.0,Bad
26,175000,0,8.9,2,3,1.5,416,684.0,434.0,174566.0,Average
25,175000,0,7.9,1,3,0.4,641,435.0,645.8,174354.2,Average
22,175000,0,10.99,2,3,0.4,41,518.0,45.8,174954.2,Average
23,175000,0,11.99,1,3,0.4,1139,846.0,1143.8,173856.2,Good
23,15000,1,13.98,1,1,1.0,493,605.0,505.0,14495.0,Bad
23,15000,1,10.99,3,1,7.0,339,613.0,423.0,14577.0,Bad
22,88000,1,15.58,1,3,2.0,1082,745.0,1106.0,86894.0,Bad
25,74800,1,10.99,2,2,3.1,2006,588.0,2043.2,72756.8,Bad
25,88000,1,14.96,1,3,1.3,332,846.0,347.6,87652.4,Bad
25,15000,0,15.31,1,2,0.3,521,450.0,524.6,14475.4,Average
26,88000,1,15.65,3,3,0.1,1923,819.0,1924.2,86075.8,Bad
25,100000,0,9.33,1,3,1.5,823,614.0,841.0,99159.0,Average
23,15000,1,13.47,1,3,7.5,1526,676.0,1616.0,13384.0,Bad
24,102400,0,10.36,1,2,0.3,144,727.0,147.6,102252.4,Good
24,92000,1,16.77,1,2,6.33,716,842.0,791.96,91208.04,Bad
23,93000,1,14.59,1,1,2.6,312,586.0,343.2,92656.8,Bad
22,175000,0,11.91,1,2,6.33,172,793.0,247.96,174752.04,Good
23,175000,0,8.38,3,3,1.2,1101,520.0,1115.4,173884.6,Average
25,174708,0,10.59,1,3,1.9,90,631.0,112.8,174595.2,Average
25,174000,0,14.27,3,2,2.3,1130,515.0,1157.6,172842.4,Average
26,174000,0,12.53,2,2,0.1,656,403.0,657.2,173342.8,Average
25,162000,1,16.0,4,3,1.6,769,306.0,788.2,161211.8,Bad
26,173467,0,11.71,2,1,7.2,72,730.0,158.4,173308.6,Good
21,15000,1,11.54,3,1,0.5,692,609.0,698.0,14302.0,Bad
25,96000,1,15.68,2,1,8.9,89,778.0,195.8,95804.2,Bad
21,15120,0,10.59,4,1,1.1,1908,585.0,1921.2,13198.8,Average
24,97908,1,12.61,2,1,1.5,65,600.0,83.0,97825.0,Bad
26,110000,0,10.99,4,2,1.5,17,327.0,35.0,109965.0,Average
23,15204,1,8.49,1,1,0.4,40,777.0,44.8,15159.2,Bad
25,159600,1,17.27,2,3,2.4,318,542.0,346.8,159253.2,Bad
24,171500,0,8.9,4,1,2.0,317,323.0,341.0,171159.0,Average
25,170004,0,11.11,4,1,0.2,46,323.0,48.4,169955.6,Average
24,158004,1,14.59,3,2,1.1,1289,432.0,1302.2,156701.8,Bad
26,170000,0,12.42,1,3,1.3,978,661.0,993.6,169006.4,Average
24,83300,1,10.99,3,3,1.7,263,776.0,283.4,83016.6,Bad
24,110000,0,15.7,3,1,2.67,436,800.0,468.04,109531.96,Good
22,15360,1,12.53,3,1,1.7,38,489.0,58.4,15301.6,Bad
25,134300,1,16.49,4,2,0.8,50,834.0,59.6,134240.4,Bad
25,170000,0,7.49,2,1,2.3,1633,491.0,1660.6,168339.4,Average
22,100580,1,14.96,4,3,2.4,978,356.0,1006.8,99573.2,Bad
25,113000,0,12.73,3,1,1.3,850,396.0,865.6,112134.4,Average
24,120000,0,10.65,4,3,5.1,48,823.0,109.19999999999999,119890.8,Good
25,120000,0,10.74,2,1,0.7,41,323.0,49.4,119950.6,Average
23,120000,0,9.99,3,3,2.0,1743,503.0,1767.0,118233.0,Average
24,91800,1,15.33,3,1,1.0,22,500.0,34.0,91766.0,Bad
21,15600,0,7.29,4,1,0.4,263,826.0,267.8,15332.2,Good
26,108000,1,15.05,4,3,0.5,22,501.0,28.0,107972.0,Bad
26,129996,0,10.75,2,2,0.5,371,645.0,377.0,129619.0,Average
23,130000,0,16.02,4,1,1.3,966,584.0,981.6,129018.4,Average
23,130000,0,11.49,3,2,6.1,315,303.0,388.2,129611.8,Average
25,170000,0,12.53,2,3,0.7,37,314.0,45.4,169954.6,Average
26,170000,0,13.57,4,1,0.0,35,558.0,35.0,169965.0,Average
22,169000,0,11.14,3,2,1.1,494,849.0,507.2,168492.8,Good
26,168750,0,12.87,4,3,1.4,433,388.0,449.8,168300.2,Average
23,168600,0,11.58,3,3,0.7,326,493.0,334.4,168265.6,Average
24,168288,0,11.12,4,1,0.8,275,592.0,284.6,168003.4,Average
25,168000,0,10.65,3,2,3.0,185,719.0,221.0,167779.0,Good
24,133300,0,10.37,1,1,1.6,1084,747.0,1103.2,132196.8,Good
24,15600,1,6.39,4,1,0.7,1518,573.0,1526.4,14073.6,Bad
24,134000,0,16.07,2,1,1.6,133,473.0,152.2,133847.8,Average
25,134000,0,10.62,2,1,2.0,61,529.0,85.0,133915.0,Average
25,15600,1,18.09,1,2,2.5,31,311.0,61.0,15539.0,Bad
25,135000,0,11.36,4,1,0.2,315,568.0,317.4,134682.6,Average
26,135660,0,12.53,4,3,0.6,55,346.0,62.2,135597.8,Average
25,145000,0,9.99,2,2,2.7,38,649.0,70.4,144929.6,Average
23,150000,0,10.36,4,1,2.0,63,453.0,87.0,149913.0,Average
23,165000,0,5.99,2,1,0.6,393,376.0,400.2,164599.8,Average
22,153000,1,15.62,2,3,1.8,969,558.0,990.6,152009.4,Bad
24,165000,0,10.37,2,2,1.67,1121,817.0,1141.04,163858.96,Good
25,165000,0,19.74,4,1,1.4,17,571.0,33.8,164966.2,Average
21,165000,0,6.91,2,1,0.8,1226,836.0,1235.6,163764.4,Good
23,16000,1,7.9,4,2,1.8,312,823.0,333.6,15666.4,Bad
23,16000,0,13.06,3,1,1.4,1272,708.0,1288.8,14711.2,Good
23,16000,0,6.39,1,3,5.9,13,705.0,83.80000000000001,15916.2,Good
23,148000,1,14.93,4,1,7.5,1921,702.0,2011.0,145989.0,Bad
23,16000,1,12.84,4,2,1.5,35,527.0,53.0,15947.0,Bad
24,16020,1,17.14,3,1,0.3,2088,716.0,2091.6,13928.4,Bad
22,16094,1,7.14,2,3,1.2,395,448.0,409.4,15684.6,Bad
25,175000,0,8.9,4,2,0.8,23,565.0,32.6,174967.4,Average
22,16200,0,12.42,4,1,1.5,162,754.0,180.0,16020.0,Good
24,185000,0,12.68,2,1,2.4,506,338.0,534.8,184465.2,Average
25,162000,0,11.03,2,1,1.8,119,754.0,140.6,161859.4,Good
26,161000,0,7.9,2,3,1.3,1216,577.0,1231.6,159768.4,Average
22,160000,0,10.65,4,2,0.2,257,779.0,259.4,159740.6,Good
25,225000,0,11.86,4,1,0.7,207,529.0,215.4,224784.6,Average
25,16400,1,8.94,3,2,1.5,96,644.0,114.0,16286.0,Bad
